date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition
1/1/2024,12:00 AM,77,94,0,29.79,Fair
1/1/2024,12:30 AM,77,94,0,29.79,Fair
1/1/2024,1:00 AM,75,100,2,29.79,Fair
1/1/2024,1:30 AM,75,100,2,29.79,Fair
1/1/2024,2:00 AM,75,94,1,29.76,Fair
1/1/2024,2:30 AM,75,94,3,29.73,Fair
1/1/2024,3:00 AM,75,94,2,29.73,Fair
1/1/2024,3:30 AM,75,94,0,29.73,Fair
1/1/2024,4:00 AM,75,94,3,29.73,Fair
1/1/2024,4:30 AM,73,100,1,29.73,Fair
1/1/2024,5:00 AM,73,100,0,29.73,Fair
1/1/2024,5:30 AM,73,100,2,29.73,Fair
1/1/2024,6:00 AM,73,100,3,29.73,Fair
1/1/2024,6:30 AM,73,100,2,29.76,Fair
1/1/2024,7:00 AM,73,100,2,29.76,Fair
1/1/2024,7:30 AM,75,100,3,29.76,Fair
1/1/2024,8:00 AM,79,94,2,29.79,Fair
1/1/2024,8:30 AM,82,89,3,29.79,Fair
1/1/2024,9:00 AM,82,89,3,29.79,Fair
1/1/2024,9:30 AM,84,84,8,29.79,Mostly Cloudy
1/1/2024,10:00 AM,84,84,13,29.81,Mostly Cloudy
1/1/2024,10:30 AM,86,79,13,29.79,Mostly Cloudy
1/1/2024,11:00 AM,86,79,12,29.79,Mostly Cloudy
1/1/2024,11:30 AM,90,70,15,29.79,Mostly Cloudy
1/1/2024,12:00 PM,88,75,13,29.79,Mostly Cloudy
1/1/2024,12:30 PM,90,66,15,29.76,Mostly Cloudy
1/1/2024,1:00 PM,90,66,16,29.76,Mostly Cloudy
1/1/2024,1:30 PM,90,62,16,29.73,Partly Cloudy
1/1/2024,2:00 PM,90,62,17,29.73,Partly Cloudy
1/1/2024,2:30 PM,90,59,16,29.70,Partly Cloudy
1/1/2024,3:00 PM,90,62,13,29.70,Partly Cloudy
1/1/2024,3:30 PM,90,59,14,29.70,Fair
1/1/2024,4:00 PM,90,59,14,29.70,Fair
1/1/2024,4:30 PM,88,62,13,29.70,Fair
1/1/2024,5:00 PM,88,62,12,29.70,Fair
1/1/2024,5:30 PM,86,66,12,29.73,Fair
1/1/2024,6:00 PM,84,70,10,29.73,Fair
1/1/2024,6:30 PM,82,74,9,29.73,Fair
1/1/2024,7:00 PM,82,79,9,29.76,Fair
1/1/2024,7:30 PM,82,79,7,29.76,Fair
1/1/2024,8:00 PM,81,84,6,29.76,Fair
1/1/2024,8:30 PM,81,84,5,29.79,Fair
1/1/2024,9:00 PM,81,84,5,29.79,Fair
1/1/2024,9:30 PM,79,89,5,29.79,Fair
1/1/2024,10:00 PM,79,89,5,29.79,Fair
1/1/2024,10:30 PM,79,89,3,29.79,Fair
1/1/2024,11:00 PM,79,89,5,29.79,Fair
1/1/2024,11:30 PM,79,89,5,29.79,Fair
1/2/2024,12:00 AM,77,94,3,29.79,Fair
1/2/2024,12:30 AM,77,94,3,29.79,Fair
1/2/2024,1:00 AM,77,94,3,29.79,Fair
1/2/2024,1:30 AM,75,100,2,29.76,Fair
1/2/2024,2:00 AM,77,94,5,29.76,Fair
1/2/2024,2:30 AM,75,100,5,29.76,Fair
1/2/2024,3:00 AM,75,100,5,29.73,Fair
1/2/2024,3:30 AM,77,94,1,29.73,Fair
1/2/2024,4:00 AM,75,94,2,29.73,Fair
1/2/2024,4:30 AM,75,94,2,29.73,Fair
1/2/2024,5:00 AM,75,94,3,29.73,Fair
1/2/2024,5:30 AM,75,100,2,29.76,Fair
1/2/2024,6:00 AM,75,94,2,29.76,Fair
1/2/2024,6:30 AM,75,100,0,29.76,Fair
1/2/2024,7:00 AM,75,100,0,29.76,Partly Cloudy
1/2/2024,7:30 AM,77,94,1,29.79,Partly Cloudy
1/2/2024,8:00 AM,79,94,2,29.79,Partly Cloudy
1/2/2024,8:30 AM,82,89,6,29.79,Partly Cloudy
1/2/2024,9:00 AM,84,84,7,29.79,Partly Cloudy
1/2/2024,9:30 AM,84,84,12,29.79,Partly Cloudy
1/2/2024,10:00 AM,88,75,12,29.79,Partly Cloudy
1/2/2024,10:30 AM,86,79,12,29.79,Partly Cloudy
1/2/2024,11:00 AM,88,75,13,29.79,Partly Cloudy
1/2/2024,11:30 AM,90,70,14,29.76,Partly Cloudy
1/2/2024,12:00 PM,90,62,15,29.76,Partly Cloudy
1/2/2024,12:30 PM,90,62,13,29.73,Partly Cloudy
1/2/2024,1:00 PM,90,62,13,29.73,Partly Cloudy
1/2/2024,1:30 PM,90,62,10,29.70,Partly Cloudy
1/2/2024,2:00 PM,90,62,14,29.70,Partly Cloudy
1/2/2024,2:30 PM,90,62,15,29.70,Partly Cloudy
1/2/2024,3:00 PM,90,62,15,29.67,Fair
1/2/2024,3:30 PM,90,59,15,29.67,Fair
1/2/2024,4:00 PM,88,62,14,29.70,Fair
1/2/2024,4:30 PM,88,62,13,29.70,Fair
1/2/2024,5:00 PM,86,66,12,29.70,Fair
1/2/2024,5:30 PM,86,66,12,29.70,Fair
1/2/2024,6:00 PM,84,70,13,29.70,Fair
1/2/2024,6:30 PM,82,79,9,29.73,Fair
1/2/2024,7:00 PM,81,84,8,29.73,Fair
1/2/2024,7:30 PM,81,79,6,29.76,Fair
1/2/2024,8:00 PM,81,84,6,29.76,Partly Cloudy
1/2/2024,8:30 PM,81,84,7,29.79,Partly Cloudy
1/2/2024,9:00 PM,79,89,3,29.79,Partly Cloudy
1/2/2024,9:30 PM,79,89,5,29.79,Partly Cloudy
1/2/2024,10:00 PM,77,94,2,29.79,Partly Cloudy
1/2/2024,10:30 PM,77,94,2,29.79,Partly Cloudy
1/2/2024,11:00 PM,77,94,3,29.79,Partly Cloudy
1/2/2024,11:30 PM,77,89,2,29.79,Fair
1/3/2024,12:00 AM,75,94,5,29.79,Fair
1/3/2024,12:30 AM,75,94,3,29.79,Fair
1/3/2024,1:00 AM,75,94,2,29.76,Fair
1/3/2024,1:30 AM,75,94,3,29.76,Fair
1/3/2024,2:00 AM,75,94,3,29.76,Fair
1/3/2024,2:30 AM,75,94,3,29.76,Fair
1/3/2024,3:00 AM,75,94,2,29.73,Fair
1/3/2024,3:30 AM,75,94,3,29.73,Fair
1/3/2024,4:00 AM,75,94,2,29.73,Fair
1/3/2024,4:30 AM,75,94,0,29.73,Fair
1/3/2024,5:00 AM,75,94,0,29.73,Fair
1/3/2024,5:30 AM,75,94,2,29.73,Fair
1/3/2024,6:00 AM,73,100,2,29.76,Fair
1/3/2024,6:30 AM,73,100,3,29.76,Fair
1/3/2024,7:00 AM,73,100,0,29.76,Fair
1/3/2024,7:30 AM,75,100,3,29.79,Fair
1/3/2024,8:00 AM,79,100,3,29.79,Fair
1/3/2024,8:30 AM,82,89,1,29.81,Fair
1/3/2024,9:00 AM,82,89,3,29.81,Fair
1/3/2024,9:30 AM,84,89,9,29.81,Fair
1/3/2024,10:00 AM,86,79,8,29.81,Partly Cloudy
1/3/2024,10:30 AM,86,79,10,29.81,Partly Cloudy
1/3/2024,11:00 AM,86,74,10,29.79,Partly Cloudy
1/3/2024,11:30 AM,88,75,15,29.79,Partly Cloudy
1/3/2024,12:00 PM,90,66,15,29.76,Partly Cloudy
1/3/2024,12:30 PM,90,66,14,29.76,Fair
1/3/2024,1:00 PM,90,66,13,29.73,Fair
1/3/2024,1:30 PM,90,62,16,29.73,Fair
1/3/2024,2:00 PM,91,59,15,29.70,Fair
1/3/2024,2:30 PM,91,59,15,29.70,Fair
1/3/2024,3:00 PM,90,62,15,29.70,Fair
1/3/2024,3:30 PM,90,62,14,29.67,Fair
1/3/2024,4:00 PM,90,62,12,29.67,Fair
1/3/2024,4:30 PM,88,66,12,29.67,Fair
1/3/2024,5:00 PM,88,66,14,29.67,Fair
1/3/2024,5:30 PM,86,70,13,29.70,Fair
1/3/2024,6:00 PM,84,74,14,29.70,Fair
1/3/2024,6:30 PM,82,79,10,29.70,Fair
1/3/2024,7:00 PM,82,79,8,29.73,Fair
1/3/2024,7:30 PM,81,84,7,29.73,Fair
1/3/2024,8:00 PM,81,84,7,29.76,Fair
1/3/2024,8:30 PM,81,84,7,29.76,Fair
1/3/2024,9:00 PM,81,84,7,29.76,Fair
1/3/2024,9:30 PM,81,84,6,29.79,Fair
1/3/2024,10:00 PM,79,89,6,29.79,Fair
1/3/2024,10:30 PM,79,89,5,29.79,Fair
1/3/2024,11:00 PM,81,84,5,29.76,Fair
1/3/2024,11:30 PM,79,89,2,29.76,Fair
1/4/2024,12:00 AM,79,89,2,29.76,Fair
1/4/2024,12:30 AM,77,89,2,29.76,Fair
1/4/2024,1:00 AM,75,94,0,29.76,Fair
1/4/2024,1:30 AM,75,94,2,29.73,Fair
1/4/2024,2:00 AM,75,94,0,29.73,Fair
1/4/2024,2:30 AM,75,94,5,29.73,Fair
1/4/2024,3:00 AM,75,94,5,29.73,Fair
1/4/2024,3:30 AM,75,94,5,29.73,Fair
1/4/2024,4:00 AM,75,94,3,29.73,Fair
1/4/2024,4:30 AM,75,94,3,29.73,Partly Cloudy
1/4/2024,5:00 AM,75,94,2,29.73,Partly Cloudy
1/4/2024,5:30 AM,75,94,0,29.73,Partly Cloudy
1/4/2024,6:00 AM,75,94,0,29.76,Fair
1/4/2024,6:30 AM,75,94,0,29.76,Fair
1/4/2024,7:00 AM,73,100,0,29.76,Fair
1/4/2024,7:30 AM,75,100,0,29.79,Fair
1/4/2024,8:00 AM,79,94,1,29.79,Fair
1/4/2024,8:30 AM,81,94,2,29.79,Fair
1/4/2024,9:00 AM,84,84,5,29.81,Partly Cloudy
1/4/2024,9:30 AM,84,84,7,29.81,Partly Cloudy
1/4/2024,10:00 AM,86,79,9,29.81,Partly Cloudy
1/4/2024,10:30 AM,88,75,9,29.81,Partly Cloudy
1/4/2024,11:00 AM,88,75,9,29.79,Partly Cloudy
1/4/2024,11:30 AM,90,66,9,29.79,Partly Cloudy
1/4/2024,12:00 PM,90,66,9,29.76,Partly Cloudy
1/4/2024,12:30 PM,90,66,9,29.76,Partly Cloudy
1/4/2024,1:00 PM,90,62,10,29.73,Partly Cloudy
1/4/2024,1:30 PM,90,62,12,29.73,Partly Cloudy
1/4/2024,2:00 PM,91,59,12,29.70,Partly Cloudy
1/4/2024,2:30 PM,90,59,14,29.70,Partly Cloudy
1/4/2024,3:00 PM,91,55,13,29.70,Partly Cloudy
1/4/2024,3:30 PM,90,59,15,29.70,Partly Cloudy
1/4/2024,4:00 PM,90,62,14,29.70,Fair
1/4/2024,4:30 PM,90,62,13,29.70,Fair
1/4/2024,5:00 PM,88,66,14,29.70,Fair
1/4/2024,5:30 PM,86,70,12,29.73,Fair
1/4/2024,6:00 PM,84,74,8,29.73,Fair
1/4/2024,6:30 PM,84,74,7,29.73,Fair
1/4/2024,7:00 PM,82,79,8,29.76,Fair
1/4/2024,7:30 PM,82,79,8,29.76,Fair
1/4/2024,8:00 PM,82,79,7,29.76,Fair
1/4/2024,8:30 PM,81,84,6,29.79,Fair
1/4/2024,9:00 PM,81,84,5,29.79,Fair
1/4/2024,9:30 PM,81,84,5,29.79,Fair
1/4/2024,10:30 PM,79,89,5,29.79,Fair
1/4/2024,11:00 PM,79,83,3,29.81,Fair
1/4/2024,11:30 PM,79,89,3,29.79,Fair
1/5/2024,12:00 AM,77,89,3,29.79,Fair
1/5/2024,12:30 AM,77,89,2,29.79,Fair
1/5/2024,1:00 AM,77,89,1,29.79,Fair
1/5/2024,1:30 AM,75,94,2,29.79,Fair
1/5/2024,2:00 AM,77,89,7,29.76,Fair
1/5/2024,2:30 AM,75,94,0,29.76,Fair
1/5/2024,3:00 AM,75,94,0,29.73,Fair
1/5/2024,3:30 AM,75,94,2,29.73,Fair
1/5/2024,4:00 AM,75,94,0,29.73,Fair
1/5/2024,4:30 AM,73,100,2,29.73,Fair
1/5/2024,5:00 AM,73,100,0,29.73,Fair
1/5/2024,5:30 AM,75,94,7,29.76,Fair
1/5/2024,6:00 AM,75,94,3,29.76,Fair
1/5/2024,6:30 AM,75,94,2,29.76,Fair
1/5/2024,7:00 AM,75,94,2,29.76,Fair
1/5/2024,7:30 AM,75,94,2,29.79,Fair
1/5/2024,8:00 AM,77,94,2,29.79,Fair
1/5/2024,8:30 AM,81,89,2,29.79,Fair
1/5/2024,9:00 AM,82,84,8,29.81,Fair
1/5/2024,9:30 AM,84,79,8,29.81,Fair
1/5/2024,10:00 AM,84,79,8,29.81,Mostly Cloudy
1/5/2024,10:30 AM,86,74,12,29.79,Mostly Cloudy
1/5/2024,11:00 AM,86,74,12,29.79,Mostly Cloudy
1/5/2024,11:30 AM,88,70,15,29.79,Mostly Cloudy
1/5/2024,12:00 PM,90,62,15,29.76,Mostly Cloudy
1/5/2024,12:30 PM,86,70,14,29.76,Partly Cloudy
1/5/2024,1:00 PM,88,62,15,29.76,Partly Cloudy
1/5/2024,1:30 PM,90,59,15,29.73,Partly Cloudy
1/5/2024,2:00 PM,90,59,17,29.73,Partly Cloudy
1/5/2024,2:30 PM,88,58,17,29.73,Partly Cloudy
1/5/2024,3:00 PM,88,58,15,29.73,Partly Cloudy
1/5/2024,3:30 PM,88,62,14,29.70,Partly Cloudy
1/5/2024,4:00 PM,86,66,16,29.70,Partly Cloudy
1/5/2024,4:30 PM,86,66,12,29.70,Partly Cloudy
1/5/2024,5:00 PM,84,70,12,29.73,Partly Cloudy
1/5/2024,5:30 PM,84,70,10,29.73,Mostly Cloudy
1/5/2024,6:00 PM,84,70,9,29.73,Mostly Cloudy
1/5/2024,6:30 PM,82,79,10,29.76,Partly Cloudy
1/5/2024,7:00 PM,82,79,9,29.76,Partly Cloudy
1/5/2024,7:30 PM,81,84,7,29.79,Partly Cloudy
1/5/2024,8:00 PM,79,89,3,29.79,Partly Cloudy
1/5/2024,8:30 PM,79,89,1,29.81,Partly Cloudy
1/5/2024,9:00 PM,79,89,2,29.81,Fair
1/5/2024,9:30 PM,77,89,3,29.81,Fair
1/5/2024,10:00 PM,77,89,3,29.81,Fair
1/5/2024,10:30 PM,77,89,1,29.81,Fair
1/5/2024,11:00 PM,75,94,0,29.79,Fair
1/5/2024,11:30 PM,75,94,2,29.79,Fair
1/6/2024,12:00 AM,77,89,0,29.79,Fair
1/6/2024,12:30 AM,77,89,2,29.79,Fair
1/6/2024,1:00 AM,77,89,3,29.79,Fair
1/6/2024,1:30 AM,75,94,3,29.79,Fair
1/6/2024,2:00 AM,75,94,2,29.76,Fair
1/6/2024,2:30 AM,75,94,0,29.76,Fair
1/6/2024,3:00 AM,75,94,1,29.76,Fair
1/6/2024,3:30 AM,73,100,3,29.76,Fair
1/6/2024,4:00 AM,75,94,2,29.76,Fair
1/6/2024,4:30 AM,73,100,3,29.76,Fair
1/6/2024,5:00 AM,73,100,2,29.76,Fair
1/6/2024,5:30 AM,73,100,2,29.76,Fair
1/6/2024,6:00 AM,73,100,2,29.76,Fair
1/6/2024,6:30 AM,73,100,0,29.79,Partly Cloudy
1/6/2024,7:00 AM,75,94,0,29.79,Partly Cloudy
1/6/2024,7:30 AM,75,100,5,29.79,Partly Cloudy
1/6/2024,8:00 AM,79,94,3,29.81,Partly Cloudy
1/6/2024,8:30 AM,81,94,5,29.81,Partly Cloudy
1/6/2024,9:00 AM,82,89,6,29.81,Partly Cloudy
1/6/2024,9:30 AM,84,79,13,29.81,Partly Cloudy
1/6/2024,10:00 AM,84,79,10,29.81,Partly Cloudy
1/6/2024,10:30 AM,86,74,13,29.81,Partly Cloudy
1/6/2024,11:00 AM,88,70,14,29.81,Partly Cloudy
1/6/2024,11:30 AM,88,70,16,29.79,Partly Cloudy
1/6/2024,12:00 PM,88,66,16,29.79,Partly Cloudy
1/6/2024,12:30 PM,90,62,16,29.76,Partly Cloudy
1/6/2024,1:00 PM,90,62,16,29.76,Partly Cloudy
1/6/2024,1:30 PM,88,66,15,29.73,Partly Cloudy
1/6/2024,2:00 PM,90,62,15,29.73,Partly Cloudy
1/6/2024,2:30 PM,90,62,16,29.70,Partly Cloudy
1/6/2024,3:00 PM,88,66,15,29.70,Partly Cloudy
1/6/2024,3:30 PM,88,66,15,29.70,Partly Cloudy
1/6/2024,4:00 PM,88,66,14,29.70,Partly Cloudy
1/6/2024,4:30 PM,86,70,14,29.70,Mostly Cloudy
1/6/2024,5:00 PM,86,70,12,29.70,Partly Cloudy
1/6/2024,5:30 PM,84,74,15,29.73,Partly Cloudy
1/6/2024,6:00 PM,84,70,10,29.73,Partly Cloudy
1/6/2024,6:30 PM,82,74,9,29.76,Partly Cloudy
1/6/2024,7:00 PM,82,79,7,29.76,Partly Cloudy
1/6/2024,7:30 PM,81,84,6,29.79,Partly Cloudy
1/6/2024,8:00 PM,81,84,5,29.79,Partly Cloudy
1/6/2024,8:30 PM,81,84,5,29.81,Partly Cloudy
1/6/2024,9:00 PM,81,84,3,29.81,Partly Cloudy
1/6/2024,9:30 PM,79,89,3,29.81,Partly Cloudy
1/6/2024,10:00 PM,79,89,3,29.81,Partly Cloudy
1/6/2024,10:30 PM,79,89,2,29.81,Partly Cloudy
1/6/2024,11:00 PM,77,94,1,29.81,Partly Cloudy
1/6/2024,11:30 PM,77,94,3,29.81,Partly Cloudy
1/7/2024,12:00 AM,77,94,0,29.81,Mostly Cloudy
1/7/2024,12:30 AM,77,94,3,29.81,Mostly Cloudy
1/7/2024,1:00 AM,79,94,2,29.79,Mostly Cloudy
1/7/2024,1:30 AM,77,94,2,29.79,Mostly Cloudy
1/7/2024,2:00 AM,77,100,12,29.79,Light Rain
1/7/2024,2:30 AM,77,94,6,29.79,Light Rain with Thunder
1/7/2024,3:00 AM,77,100,2,29.76,Light Rain
1/7/2024,3:30 AM,77,94,1,29.76,Light Rain
1/7/2024,4:00 AM,75,100,3,29.76,Light Rain
1/7/2024,4:30 AM,75,100,3,29.76,Light Rain
1/7/2024,5:00 AM,75,100,1,29.76,Light Rain
1/7/2024,5:30 AM,75,100,2,29.76,Light Rain
1/7/2024,6:00 AM,75,100,0,29.76,Light Rain
1/7/2024,6:30 AM,75,100,0,29.79,Mostly Cloudy
1/7/2024,7:00 AM,77,94,3,29.79,Mostly Cloudy
1/7/2024,7:30 AM,77,100,3,29.79,Mostly Cloudy
1/7/2024,8:00 AM,77,100,5,29.81,Mostly Cloudy
1/7/2024,8:30 AM,77,100,2,29.81,Light Rain
1/7/2024,9:00 AM,79,100,2,29.81,Light Rain
1/7/2024,9:30 AM,79,100,8,29.84,Mostly Cloudy
1/7/2024,10:00 AM,81,94,8,29.81,Cloudy
1/7/2024,10:30 AM,82,94,14,29.81,Mostly Cloudy
1/7/2024,11:00 AM,82,89,12,29.81,Light Rain
1/7/2024,11:30 AM,81,94,7,29.81,Light Rain
1/7/2024,12:00 PM,84,89,12,29.79,Mostly Cloudy
1/7/2024,12:30 PM,84,89,8,29.79,Mostly Cloudy
1/7/2024,1:00 PM,82,89,10,29.76,Mostly Cloudy
1/7/2024,1:30 PM,81,89,13,29.76,Showers in the Vicinity
1/7/2024,2:00 PM,81,89,16,29.76,Mostly Cloudy
1/7/2024,2:30 PM,82,89,9,29.76,Mostly Cloudy
1/7/2024,3:00 PM,84,84,15,29.73,Mostly Cloudy
1/7/2024,3:30 PM,86,79,17,29.73,Mostly Cloudy
1/7/2024,4:00 PM,86,79,17,29.73,Mostly Cloudy
1/7/2024,4:30 PM,84,79,16,29.73,Mostly Cloudy
1/7/2024,5:00 PM,84,79,17,29.73,Mostly Cloudy
1/7/2024,5:30 PM,84,79,16,29.73,Mostly Cloudy
1/7/2024,6:00 PM,82,79,15,29.76,Mostly Cloudy
1/7/2024,6:30 PM,82,79,12,29.76,Mostly Cloudy
1/7/2024,7:00 PM,81,84,3,29.79,Partly Cloudy
1/7/2024,7:30 PM,81,84,5,29.79,Partly Cloudy
1/7/2024,8:00 PM,81,84,7,29.79,Mostly Cloudy
1/7/2024,8:30 PM,81,84,1,29.81,Mostly Cloudy
1/7/2024,9:00 PM,79,89,3,29.81,Partly Cloudy
1/7/2024,9:30 PM,79,89,6,29.81,Partly Cloudy
1/7/2024,10:00 PM,79,89,5,29.81,Partly Cloudy
1/7/2024,10:30 PM,79,89,5,29.81,Partly Cloudy
1/7/2024,11:00 PM,79,89,6,29.81,Mostly Cloudy
1/7/2024,11:30 PM,77,94,3,29.79,Partly Cloudy
1/8/2024,12:00 AM,77,94,5,29.79,Partly Cloudy
1/8/2024,12:30 AM,77,94,6,29.79,Partly Cloudy
1/8/2024,1:00 AM,77,94,5,29.79,Partly Cloudy
1/8/2024,1:30 AM,77,94,3,29.76,Partly Cloudy
1/8/2024,2:00 AM,77,94,5,29.76,Partly Cloudy
1/8/2024,2:30 AM,77,94,1,29.76,Mostly Cloudy
1/8/2024,3:00 AM,77,94,3,29.76,Mostly Cloudy
1/8/2024,3:30 AM,77,94,2,29.76,Mostly Cloudy
1/8/2024,4:00 AM,77,94,2,29.73,Mostly Cloudy
1/8/2024,4:30 AM,77,94,0,29.73,Mostly Cloudy
1/8/2024,5:00 AM,77,94,2,29.73,Partly Cloudy
1/8/2024,5:30 AM,77,94,3,29.76,Light Rain
1/8/2024,6:00 AM,77,94,3,29.76,Mostly Cloudy
1/8/2024,6:30 AM,75,100,2,29.76,Mostly Cloudy
1/8/2024,7:00 AM,77,94,0,29.79,Light Rain
1/8/2024,7:30 AM,77,100,0,29.79,Light Rain
1/8/2024,8:00 AM,79,94,2,29.79,Light Rain
1/8/2024,8:30 AM,79,94,5,29.81,Light Rain
1/8/2024,9:00 AM,79,100,5,29.81,Mostly Cloudy
1/8/2024,9:30 AM,81,94,5,29.81,Light Rain
1/8/2024,10:00 AM,82,94,8,29.81,Mostly Cloudy
1/8/2024,10:30 AM,84,89,12,29.79,Mostly Cloudy
1/8/2024,11:00 AM,84,89,12,29.79,Mostly Cloudy
1/8/2024,11:30 AM,86,84,13,29.79,Mostly Cloudy
1/8/2024,12:00 PM,88,79,15,29.79,Mostly Cloudy
1/8/2024,12:30 PM,88,79,17,29.76,Mostly Cloudy
1/8/2024,1:00 PM,86,79,17,29.76,Mostly Cloudy
1/8/2024,1:30 PM,90,70,16,29.73,Mostly Cloudy
1/8/2024,2:00 PM,88,75,17,29.73,Mostly Cloudy
1/8/2024,2:30 PM,88,75,16,29.73,Mostly Cloudy
1/8/2024,3:00 PM,88,70,15,29.73,Mostly Cloudy
1/8/2024,3:30 PM,88,70,15,29.73,Partly Cloudy
1/8/2024,4:00 PM,88,70,16,29.73,Partly Cloudy
1/8/2024,4:30 PM,86,74,15,29.73,Partly Cloudy
1/8/2024,5:00 PM,86,74,14,29.73,Partly Cloudy
1/8/2024,5:30 PM,84,79,10,29.73,Partly Cloudy
1/8/2024,6:00 PM,82,84,9,29.76,Partly Cloudy
1/8/2024,6:30 PM,82,79,10,29.76,Partly Cloudy
1/8/2024,7:00 PM,82,79,10,29.76,Partly Cloudy
1/8/2024,7:30 PM,81,84,8,29.79,Fair
1/8/2024,8:00 PM,81,84,7,29.79,Fair
1/8/2024,8:30 PM,81,84,6,29.79,Fair
1/8/2024,9:00 PM,81,84,7,29.79,Fair
1/8/2024,9:30 PM,81,89,6,29.79,Fair
1/8/2024,10:00 PM,81,84,3,29.81,Fair
1/8/2024,10:30 PM,81,89,3,29.81,Partly Cloudy
1/8/2024,11:00 PM,81,89,5,29.79,Mostly Cloudy
1/8/2024,11:30 PM,81,84,3,29.79,Partly Cloudy
1/9/2024,12:00 AM,79,89,2,29.79,Fair
1/9/2024,12:30 AM,77,94,0,29.79,Fair
1/9/2024,1:00 AM,77,94,2,29.76,Fair
1/9/2024,1:30 AM,77,94,1,29.76,Fair
1/9/2024,2:00 AM,75,94,2,29.76,Fair
1/9/2024,2:30 AM,75,94,2,29.76,Fair
1/9/2024,3:00 AM,75,94,0,29.76,Fair
1/9/2024,3:30 AM,75,94,3,29.73,Fair
1/9/2024,4:00 AM,75,100,3,29.73,Fair
1/9/2024,4:30 AM,77,94,3,29.73,Fair
1/9/2024,5:00 AM,75,94,0,29.73,Fair
1/9/2024,5:30 AM,75,100,1,29.76,Partly Cloudy
1/9/2024,6:00 AM,75,100,1,29.76,Partly Cloudy
1/9/2024,6:30 AM,75,94,2,29.76,Fair
1/9/2024,7:00 AM,75,94,0,29.76,Fair
1/9/2024,7:30 AM,75,100,5,29.76,Fair
1/9/2024,8:00 AM,77,100,5,29.79,Mostly Cloudy
1/9/2024,8:30 AM,79,94,3,29.79,Mostly Cloudy
1/9/2024,9:00 AM,81,94,5,29.79,Mostly Cloudy
1/9/2024,9:30 AM,82,89,9,29.79,Mostly Cloudy
1/9/2024,10:00 AM,84,84,12,29.81,Mostly Cloudy
1/9/2024,10:30 AM,84,84,10,29.79,Mostly Cloudy
1/9/2024,11:00 AM,86,79,10,29.79,Showers in the Vicinity
1/9/2024,11:30 AM,86,79,12,29.79,Mostly Cloudy
1/9/2024,12:00 PM,88,75,14,29.76,Mostly Cloudy
1/9/2024,12:30 PM,88,75,13,29.76,Mostly Cloudy
1/9/2024,1:00 PM,88,70,15,29.73,Mostly Cloudy
1/9/2024,1:30 PM,88,75,12,29.73,Mostly Cloudy
1/9/2024,2:00 PM,88,70,14,29.70,Mostly Cloudy
1/9/2024,2:30 PM,88,70,14,29.70,Mostly Cloudy
1/9/2024,3:00 PM,86,74,13,29.70,Mostly Cloudy
1/9/2024,3:30 PM,86,74,12,29.70,Mostly Cloudy
1/9/2024,4:00 PM,86,74,12,29.70,Mostly Cloudy
1/9/2024,4:30 PM,86,74,12,29.70,Mostly Cloudy
1/9/2024,5:00 PM,84,79,8,29.70,Mostly Cloudy
1/9/2024,5:30 PM,84,79,8,29.73,Mostly Cloudy
1/9/2024,6:00 PM,84,79,8,29.73,Mostly Cloudy
1/9/2024,6:30 PM,82,84,7,29.73,Light Rain
1/9/2024,7:00 PM,82,84,3,29.76,Light Rain
1/9/2024,7:30 PM,81,89,3,29.76,Mostly Cloudy
1/9/2024,8:00 PM,81,89,5,29.76,Mostly Cloudy
1/9/2024,8:30 PM,81,89,7,29.76,Light Rain
1/9/2024,9:00 PM,81,89,3,29.76,Light Rain
1/9/2024,9:30 PM,81,89,3,29.79,Mostly Cloudy
1/9/2024,10:00 PM,81,89,5,29.76,Light Rain
1/9/2024,10:30 PM,79,94,2,29.76,Mostly Cloudy
1/9/2024,11:00 PM,79,94,5,29.76,Mostly Cloudy
1/9/2024,11:30 PM,79,94,0,29.76,Mostly Cloudy
1/10/2024,12:00 AM,77,94,2,29.76,Mostly Cloudy
1/10/2024,12:30 AM,77,94,3,29.76,Mostly Cloudy
1/10/2024,1:00 AM,77,94,0,29.76,Mostly Cloudy
1/10/2024,1:30 AM,77,94,2,29.76,Partly Cloudy
1/10/2024,2:00 AM,77,94,3,29.73,Partly Cloudy
1/10/2024,2:30 AM,77,94,2,29.73,Partly Cloudy
1/10/2024,3:00 AM,75,100,0,29.73,Fair
1/10/2024,3:30 AM,75,100,2,29.70,Fair
1/10/2024,4:00 AM,75,100,2,29.70,Fair
1/10/2024,4:30 AM,75,100,0,29.70,Fair
1/10/2024,5:00 AM,75,100,0,29.70,Fair
1/10/2024,5:30 AM,75,100,3,29.73,Fair
1/10/2024,6:00 AM,75,100,2,29.73,Fair
1/10/2024,6:30 AM,75,100,2,29.73,Showers in the Vicinity
1/10/2024,7:00 AM,75,100,1,29.73,Light Rain
1/10/2024,7:30 AM,77,100,2,29.76,Light Rain
1/10/2024,8:00 AM,79,100,3,29.76,Light Rain
1/10/2024,8:30 AM,79,100,5,29.79,Light Rain
1/10/2024,9:00 AM,82,89,7,29.79,Mostly Cloudy
1/10/2024,9:30 AM,84,84,12,29.79,Mostly Cloudy
1/10/2024,10:00 AM,84,84,10,29.79,Mostly Cloudy
