ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก (4 ล้อ),รถบรรทุกขนาด 2 เพลา (6ล้อ),รถบรรทุกขนาด 3 เพลา (10ล้อ),รถบรรทุกพ่วง (มากกว่า 3 เพลา),รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,% ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,110457,25779,1569,2995,8541,40431,6425,2876,906,781,200760,11.219,195,12792,ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,86105,38917,3603,6066,10852,52242,17356,3619,2372,1450,222582,18.741,156,14681,ปทุมธานี,พระนครศรีอยุธยา
1,302,ต่างระดับบางปะอิน - หนองแค,67+300,35469,21430,8791,2394,3237,17361,16373,10722,10912,9747,136436,39.128,0,1606,อยุธยา,พระนครศรีอยุธยา
1,302,ต่างระดับบางปะอิน - หนองแค,60+800,31439,27015,7907,2812,3600,8556,7497,8486,7295,7254,111861,33.027,0,1589,อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,28852,24090,961,1202,2999,33468,5883,8465,8759,8197,122876,28.895,64,3425,สระบุรี,สระบุรี
1,102,แยกคปอ. - สนามกีฬาธูปะเตมีย์,25+556,22251,8510,62,461,994,9097,458,90,67,139,42129,5.243,44,9004,กรุงเทพ,กรุงเทพมหานคร
1,1104,เกาะคา - สามัคคี,697+942,19419,19290,645,568,721,9559,1660,1767,1234,1163,56026,12.696,449,10228,ลำปางที่ 1,ลำปาง
1,1301,แม่กา - แยกประตูชัย,836+967,15687,4636,95,19,57,15485,563,329,517,237,37625,4.577,81,4579,พะเยา,พะเยา
1,802,บ้านหว้า - วังไผ่,341+076,11657,9288,573,971,970,12589,1183,1169,1221,1214,40835,16.476,74,8721,นครสวรรค์ที่ 1,นครสวรรค์
1,1104,เกาะคา - สามัคคี,701+817,11202,10708,415,351,350,7501,762,621,522,565,32997,9.61,247,7191,ลำปางที่ 1,ลำปาง
1,902,ปากดง - นครชุม,457+876,10418,4120,30,23,97,6119,2495,2799,4041,4599,34741,40.454,83,4665,กำแพงเพชร,กำแพงเพชร
1,1401,พาน - ร่องขุ่น,909+967,10071,1230,96,41,92,3556,700,344,282,202,16614,9.998,35,2111,เชียงรายที่ 1,เชียงราย
1,801,หางน้ำหนองแขม - บ้านหว้า,306+776,9896,10975,0,66,432,16144,1879,2224,2220,2255,46091,19.691,10,965,นครสวรรค์ที่ 1,นครสวรรค์
1,1403,แยกแม่กรณ์ - ห้วยพลู,930+617,9475,7001,242,112,149,9193,449,313,250,237,27421,5.507,56,7886,เชียงรายที่ 1,เชียงราย
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,9241,11603,2119,2134,1946,5991,3866,3415,6628,6203,53146,45.52,415,3121,สระบุรี,สระบุรี
1,1104,เกาะคา - สามัคคี,708+317,8928,8650,756,545,562,5214,1261,1267,1066,983,29232,19.444,420,6583,ลำปางที่ 1,ลำปาง
1,802,บ้านหว้า - วังไผ่,331+276,8676,8324,0,1146,1270,14695,1347,1523,1510,1411,39902,20.568,34,7403,นครสวรรค์ที่ 1,นครสวรรค์
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,8450,5083,2159,2474,2003,6284,4547,3586,4131,3919,42636,48.457,128,5529,สระบุรี,สระบุรี
1,1403,แยกแม่กรณ์ - ห้วยพลู,942+167,8427,5194,233,212,229,9376,245,199,191,127,24433,4.924,75,5711,เชียงรายที่ 1,เชียงราย
1,901,โนนปอแดง - ปากดง,423+900,8265,6322,170,21,156,8081,1690,874,1387,1404,28370,19.499,16,871,กำแพงเพชร,กำแพงเพชร
1,1402,ร่องขุ่น - แยกแม่กรณ์,924+617,8081,8511,260,245,247,10422,1021,995,966,1025,31773,14.16,760,6663,เชียงรายที่ 1,เชียงราย
1,700,ดอนรังนก - หางน้ำหนองแขม,289+504,7911,2579,78,11,67,4564,620,371,646,206,17053,11.265,17,1776,ชัยนาท,ชัยนาท
1,1403,แยกแม่กรณ์ - ห้วยพลู,948+000,7656,3625,202,157,136,7614,837,640,572,441,21880,12.719,172,5274,เชียงรายที่ 1,เชียงราย
1,1102,ดอนไชย - สบปราบ,617+097,7426,1861,204,21,109,1411,880,643,1089,850,14494,24.783,18,1794,ลำปางที่ 1,ลำปาง
1,1301,แม่กา - แยกประตูชัย,822+117,6936,2461,105,32,68,6961,711,714,712,787,19487,15.518,8,4800,พะเยา,พะเยา
1,503,แยกร.พ.อานันทมหิดล - เขาวงพระจันทร์,167+355,6723,2378,24,33,60,6560,297,135,235,98,16543,5.186,21,2871,ลพบุรีที่ 1,ลพบุรี
1,901,โนนปอแดง - ปากดง,390+276,6426,2021,87,48,132,7112,980,840,1547,1732,20925,25.228,46,1281,กำแพงเพชร,กำแพงเพชร
1,803,วังไผ่ - โนนปอแดง,377+276,6403,2851,56,39,23,3176,1553,1698,1642,1052,18493,32.483,10,639,นครสวรรค์ที่ 1,นครสวรรค์
