date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition
1/1/2021,12:00 AM,77,94,0,29.76,Mostly Cloudy
1/1/2021,12:30 AM,77,94,3,29.73,Mostly Cloudy
1/1/2021,1:00 AM,75,100,9,29.73,Mostly Cloudy
1/1/2021,1:30 AM,75,100,3,29.73,Mostly Cloudy
1/1/2021,2:00 AM,77,94,2,29.73,Mostly Cloudy
1/1/2021,2:30 AM,77,100,0,29.70,Mostly Cloudy
1/1/2021,3:00 AM,75,100,1,29.70,Mostly Cloudy
1/1/2021,3:30 AM,75,100,0,29.70,Mostly Cloudy
1/1/2021,4:00 AM,75,100,0,29.70,Mostly Cloudy
1/1/2021,4:30 AM,75,100,3,29.70,Mostly Cloudy
1/1/2021,5:00 AM,75,100,0,29.70,Mostly Cloudy
1/1/2021,5:30 AM,75,100,0,29.70,Mostly Cloudy
1/1/2021,6:00 AM,75,100,0,29.70,Mostly Cloudy
1/1/2021,6:30 AM,75,100,0,29.70,Light Rain
1/1/2021,7:00 AM,77,100,0,29.73,Mostly Cloudy
1/1/2021,7:30 AM,77,100,0,29.73,Mostly Cloudy
1/1/2021,8:00 AM,79,94,0,29.73,Mostly Cloudy
1/1/2021,8:30 AM,79,94,0,29.76,Light Rain
1/1/2021,9:00 AM,79,94,0,29.76,Mostly Cloudy
1/1/2021,9:30 AM,84,70,9,29.76,Mostly Cloudy
1/1/2021,10:00 AM,82,74,13,29.76,Mostly Cloudy
1/1/2021,10:30 AM,82,70,15,29.79,Light Rain
1/1/2021,11:00 AM,77,89,9,29.79,Light Rain
1/1/2021,11:30 AM,81,89,8,29.76,Mostly Cloudy
1/1/2021,12:00 PM,82,74,13,29.76,Mostly Cloudy
1/1/2021,12:30 PM,81,79,13,29.76,Mostly Cloudy
1/1/2021,1:00 PM,81,79,10,29.73,Mostly Cloudy
1/1/2021,1:30 PM,84,70,15,29.70,Mostly Cloudy
1/1/2021,2:00 PM,86,62,13,29.67,Mostly Cloudy
1/1/2021,2:30 PM,84,66,13,29.67,Mostly Cloudy
1/1/2021,3:00 PM,82,74,12,29.67,Mostly Cloudy
1/1/2021,3:30 PM,82,74,17,29.67,Mostly Cloudy
1/1/2021,4:00 PM,79,83,8,29.67,Mostly Cloudy
1/1/2021,4:30 PM,81,84,6,29.67,Mostly Cloudy
1/1/2021,5:00 PM,81,79,10,29.67,Mostly Cloudy
1/1/2021,5:30 PM,81,79,10,29.70,Mostly Cloudy
1/1/2021,6:00 PM,81,79,7,29.70,Mostly Cloudy
1/1/2021,6:30 PM,81,74,12,29.70,Mostly Cloudy
1/1/2021,7:00 PM,81,74,10,29.70,Mostly Cloudy
1/1/2021,7:30 PM,81,74,6,29.73,Mostly Cloudy
1/1/2021,8:00 PM,81,74,8,29.73,Mostly Cloudy
1/1/2021,8:30 PM,81,74,8,29.73,Mostly Cloudy
1/1/2021,9:00 PM,81,74,8,29.76,Mostly Cloudy
1/1/2021,9:30 PM,79,78,7,29.76,Mostly Cloudy
1/1/2021,10:00 PM,79,78,6,29.76,Mostly Cloudy
1/1/2021,10:30 PM,79,78,6,29.76,Mostly Cloudy
1/1/2021,11:00 PM,79,78,6,29.73,Mostly Cloudy
1/1/2021,11:30 PM,79,83,6,29.76,Mostly Cloudy
1/2/2021,12:00 AM,77,89,0,29.73,Light Rain
1/2/2021,12:30 AM,79,89,0,29.73,Mostly Cloudy
1/2/2021,1:00 AM,79,83,7,29.73,Light Rain
1/2/2021,1:30 AM,77,100,0,29.73,Mostly Cloudy
1/2/2021,2:00 AM,75,100,3,29.73,Light Rain
1/2/2021,2:30 AM,75,100,0,29.70,Light Rain
1/2/2021,3:00 AM,75,100,0,29.70,Light Rain
1/2/2021,3:30 AM,75,100,0,29.70,Light Rain
1/2/2021,4:00 AM,75,100,2,29.70,Light Rain
1/2/2021,4:30 AM,75,100,9,29.70,Light Rain
1/2/2021,5:00 AM,75,100,0,29.70,Light Rain
1/2/2021,5:30 AM,75,100,0,29.70,Mostly Cloudy
1/2/2021,6:00 AM,75,100,0,29.70,Mostly Cloudy
1/2/2021,6:30 AM,75,100,0,29.73,Mostly Cloudy
1/2/2021,7:00 AM,75,100,0,29.73,Mostly Cloudy
1/2/2021,7:30 AM,77,100,0,29.73,Mostly Cloudy
1/2/2021,8:00 AM,77,100,0,29.76,Mostly Cloudy
1/2/2021,8:30 AM,77,100,2,29.76,Mostly Cloudy
1/2/2021,9:00 AM,77,100,2,29.76,Light Rain
1/2/2021,9:30 AM,79,100,0,29.76,Mostly Cloudy
1/2/2021,10:00 AM,79,100,0,29.76,Showers in the Vicinity
1/2/2021,10:30 AM,79,100,7,29.76,Light Rain
1/2/2021,11:00 AM,77,100,5,29.76,Light Rain
1/2/2021,11:30 AM,79,94,0,29.76,Showers in the Vicinity
1/2/2021,12:00 PM,79,100,5,29.76,Light Rain
1/2/2021,12:30 PM,81,100,3,29.73,Mostly Cloudy
1/2/2021,1:00 PM,81,84,7,29.73,Mostly Cloudy
1/2/2021,1:30 PM,81,84,7,29.70,Mostly Cloudy
1/2/2021,2:00 PM,82,74,10,29.70,Showers in the Vicinity
1/2/2021,2:30 PM,82,74,8,29.70,Mostly Cloudy
1/2/2021,3:00 PM,81,74,13,29.70,Showers in the Vicinity
1/2/2021,3:30 PM,81,74,7,29.67,Mostly Cloudy
1/2/2021,4:00 PM,82,74,8,29.67,Mostly Cloudy
1/2/2021,4:30 PM,81,74,9,29.67,Mostly Cloudy
1/2/2021,5:00 PM,81,74,10,29.67,Mostly Cloudy
1/2/2021,5:30 PM,81,79,9,29.67,Mostly Cloudy
1/2/2021,6:00 PM,81,74,7,29.70,Mostly Cloudy
1/2/2021,6:30 PM,79,78,5,29.70,Mostly Cloudy
1/2/2021,7:00 PM,79,78,3,29.70,Mostly Cloudy
1/2/2021,7:30 PM,79,78,3,29.70,Mostly Cloudy
1/2/2021,8:00 PM,77,100,6,29.73,Mostly Cloudy
1/2/2021,8:30 PM,77,100,2,29.73,Light Rain
1/2/2021,9:00 PM,77,100,0,29.73,Mostly Cloudy
1/2/2021,9:30 PM,77,94,0,29.73,Mostly Cloudy
1/2/2021,10:00 PM,77,100,0,29.73,Mostly Cloudy
1/2/2021,10:30 PM,75,100,0,29.73,Mostly Cloudy
1/2/2021,11:00 PM,75,100,0,29.73,Mostly Cloudy
1/2/2021,11:30 PM,77,100,0,29.73,Mostly Cloudy
1/3/2021,12:00 AM,75,100,0,29.73,Light Rain
1/3/2021,12:30 AM,75,100,0,29.73,Light Rain
1/3/2021,1:00 AM,75,100,0,29.70,Light Rain
1/3/2021,1:30 AM,75,100,0,29.70,Light Rain
1/3/2021,2:00 AM,75,100,2,29.70,Light Rain
1/3/2021,2:30 AM,75,100,0,29.70,Light Rain
1/3/2021,3:00 AM,75,100,6,29.67,Light Rain
1/3/2021,3:30 AM,75,100,0,29.67,Light Rain
1/3/2021,4:00 AM,75,100,0,29.67,Light Rain
1/3/2021,4:30 AM,75,100,0,29.67,Light Rain
1/3/2021,5:00 AM,75,100,0,29.67,Light Rain
1/3/2021,5:30 AM,75,100,0,29.67,Light Rain
1/3/2021,6:00 AM,75,100,0,29.70,Mostly Cloudy
1/3/2021,6:30 AM,75,100,0,29.70,Mostly Cloudy
1/3/2021,7:00 AM,75,100,0,29.70,Light Rain
1/3/2021,7:30 AM,77,100,2,29.70,Mostly Cloudy
1/3/2021,8:00 AM,77,100,5,29.73,Mostly Cloudy
1/3/2021,8:30 AM,77,100,2,29.73,Mostly Cloudy
1/3/2021,9:00 AM,77,100,3,29.73,Light Rain
1/3/2021,9:30 AM,79,100,3,29.73,Mostly Cloudy
1/3/2021,10:00 AM,81,94,5,29.73,Mostly Cloudy
1/3/2021,10:30 AM,82,84,6,29.73,Mostly Cloudy
1/3/2021,11:00 AM,82,79,12,29.73,Mostly Cloudy
1/3/2021,11:30 AM,82,79,14,29.73,Mostly Cloudy
1/3/2021,12:00 PM,82,74,12,29.70,Showers in the Vicinity
1/3/2021,12:30 PM,82,74,10,29.70,Mostly Cloudy
1/3/2021,1:00 PM,84,70,13,29.67,Mostly Cloudy
1/3/2021,1:30 PM,84,70,16,29.67,Mostly Cloudy
1/3/2021,2:00 PM,84,70,14,29.67,Mostly Cloudy
1/3/2021,2:30 PM,84,70,14,29.64,Mostly Cloudy
1/3/2021,3:00 PM,84,74,13,29.64,Light Rain
1/3/2021,3:30 PM,82,74,13,29.64,Mostly Cloudy
1/3/2021,4:00 PM,82,74,9,29.64,Mostly Cloudy
1/3/2021,4:30 PM,82,74,10,29.64,Mostly Cloudy
1/3/2021,5:00 PM,82,74,8,29.67,Mostly Cloudy
1/3/2021,5:30 PM,82,74,8,29.67,Showers in the Vicinity
1/3/2021,6:00 PM,77,100,8,29.67,Light Rain
1/3/2021,6:30 PM,77,100,5,29.70,Mostly Cloudy
1/3/2021,7:00 PM,77,100,3,29.70,Mostly Cloudy
1/3/2021,7:30 PM,77,100,2,29.70,Mostly Cloudy
1/3/2021,8:00 PM,77,100,5,29.70,Light Rain
1/3/2021,8:30 PM,77,100,7,29.73,Light Rain
1/3/2021,9:00 PM,75,100,8,29.73,Rain
1/3/2021,9:30 PM,75,100,5,29.76,Light Rain
1/3/2021,10:00 PM,75,100,0,29.73,Light Rain
1/3/2021,10:30 PM,75,100,2,29.73,Mostly Cloudy
1/3/2021,11:00 PM,75,100,2,29.73,Mostly Cloudy
1/3/2021,11:30 PM,75,100,5,29.73,Mostly Cloudy
1/4/2021,12:00 AM,77,100,0,29.73,Mostly Cloudy
1/4/2021,12:30 AM,77,100,0,29.70,Mostly Cloudy
1/4/2021,1:00 AM,77,100,3,29.70,Mostly Cloudy
1/4/2021,1:30 AM,77,100,2,29.70,Mostly Cloudy
1/4/2021,2:00 AM,77,100,0,29.70,Mostly Cloudy
1/4/2021,2:30 AM,77,100,0,29.67,Mostly Cloudy
1/4/2021,3:00 AM,77,100,0,29.67,Mostly Cloudy
1/4/2021,3:30 AM,77,100,0,29.67,Mostly Cloudy
1/4/2021,4:00 AM,75,100,2,29.67,Light Rain
1/4/2021,4:30 AM,73,100,6,29.67,Light Rain
1/4/2021,5:00 AM,75,100,0,29.67,Light Rain
1/4/2021,5:30 AM,75,100,0,29.70,Light Rain
