date,time,temperature_F,humidity_%,pressure_in,condition,เกิดเหตุ,รถน้อยกว่า4ล้อacc,รถ4ล้อacc,รถมากกว่า4ล้อacc,รถน้อยกว่า4ล้อทั้งหมด,รถ4ล้อทั้งหมด,รถมากกว่า4ล้อทั้งหมด
1/1/2023,12:00 AM,72,94,29.84,Clear,0,0,0,0,0,3,2
1/1/2023,12:30 AM,72,94,29.84,Clear,0,0,0,0,1,3,3
1/1/2023,1:00 AM,72,94,29.84,Clear,0,0,0,0,0,3,2
1/1/2023,1:30 AM,72,94,29.84,Clear,0,0,0,0,0,3,2
1/1/2023,2:00 AM,72,94,29.81,Clear,0,0,0,0,0,3,2
1/1/2023,2:30 AM,72,94,29.81,Clear,0,0,0,0,0,3,2
1/1/2023,3:00 AM,70,100,29.81,Clear,0,0,0,0,0,3,2
1/1/2023,3:30 AM,70,100,29.81,Clear,0,0,0,0,0,3,2
1/1/2023,4:00 AM,70,100,29.81,Clear,0,0,0,0,0,3,2
1/1/2023,4:30 AM,70,100,29.81,Clear,0,0,0,0,0,3,2
1/1/2023,5:00 AM,70,100,29.79,Clear,0,0,0,0,4,14,2
1/1/2023,5:30 AM,72,94,29.81,Clear,0,0,0,0,3,14,1
1/1/2023,6:00 AM,70,100,29.81,Clear,0,0,0,0,3,15,2
1/1/2023,6:30 AM,70,100,29.81,Clear,0,0,0,0,3,14,1
1/1/2023,7:00 AM,70,100,29.81,Clear,0,0,0,0,3,15,2
1/1/2023,7:30 AM,73,94,29.84,Clear,0,0,0,0,3,13,2
1/1/2023,8:00 AM,75,94,29.84,Clear,0,0,0,0,3,16,2
1/1/2023,8:30 AM,77,94,29.84,Clear,0,0,0,0,2,16,2
1/1/2023,9:00 AM,81,84,29.87,Clear,0,0,0,0,2,7,2
1/1/2023,9:30 AM,81,84,29.87,Clear,0,0,0,0,2,6,1
1/1/2023,10:00 AM,84,79,29.87,Clear,0,0,0,0,2,7,2
1/1/2023,10:30 AM,82,79,29.84,Clear,0,0,0,0,2,6,2
1/1/2023,11:00 AM,86,70,29.84,Clear,0,0,0,0,2,7,2
1/1/2023,11:30 AM,84,66,29.84,Clear,0,0,0,0,2,6,2
1/1/2023,12:00 PM,88,58,29.81,Clear,0,0,0,0,2,6,2
1/1/2023,12:30 PM,88,55,29.81,Clear,0,0,0,0,2,7,2
1/1/2023,1:00 PM,88,52,29.79,Clear,0,0,0,0,2,8,2
1/1/2023,1:30 PM,88,55,29.76,Clear,0,0,0,0,2,6,2
1/1/2023,2:00 PM,88,55,29.76,Clear,0,0,0,0,2,7,2
1/1/2023,2:30 PM,88,55,29.73,Clear,0,0,0,0,2,7,2
1/1/2023,3:00 PM,88,52,29.73,Clear,0,0,0,0,2,7,1
1/1/2023,3:30 PM,88,55,29.73,Clear,0,0,0,0,2,7,2
1/1/2023,4:00 PM,86,58,29.73,Clear,0,0,0,0,3,14,2
1/1/2023,4:30 PM,86,55,29.73,Clear,0,0,0,0,2,13,2
1/1/2023,5:00 PM,84,62,29.73,Clear,0,0,0,0,2,12,2
1/1/2023,5:30 PM,84,62,29.73,Clear,0,0,0,0,3,13,2
1/1/2023,6:00 PM,82,66,29.76,Clear,0,0,0,0,3,10,2
1/1/2023,6:30 PM,81,70,29.76,Clear,0,0,0,0,3,10,2
1/1/2023,7:00 PM,79,78,29.79,Clear,0,0,0,0,2,13,2
1/1/2023,7:30 PM,79,78,29.79,Clear,0,0,0,0,3,14,2
1/1/2023,8:00 PM,77,83,29.81,Clear,0,0,0,0,2,8,2
1/1/2023,8:30 PM,75,83,29.81,Clear,0,0,0,0,2,7,2
1/1/2023,9:00 PM,73,88,29.84,Clear,0,0,0,0,2,7,2
1/1/2023,9:30 PM,73,88,29.84,Clear,0,0,0,0,2,7,1
1/1/2023,10:00 PM,73,88,29.84,Clear,0,0,0,0,2,8,2
1/1/2023,10:30 PM,72,94,29.84,Clear,0,0,0,0,2,8,2
1/1/2023,11:00 PM,72,94,29.84,Clear,0,0,0,0,2,8,2
1/1/2023,11:30 PM,72,94,29.84,Clear,0,0,0,0,2,8,1
1/2/2023,12:00 AM,72,94,29.84,Clear,0,0,0,0,0,3,2
1/2/2023,12:30 AM,72,94,29.84,Clear,0,0,0,0,0,3,2
1/2/2023,1:00 AM,72,94,29.84,Clear,0,0,0,0,0,3,2
1/2/2023,1:30 AM,72,94,29.84,Clear,1,1,1,0,0,4,2
1/2/2023,2:00 AM,72,94,29.81,Clear,0,0,0,0,0,3,2
1/2/2023,2:30 AM,72,94,29.81,Clear,0,0,0,0,0,3,2
1/2/2023,3:00 AM,70,100,29.81,Clear,0,0,0,0,0,3,2
1/2/2023,3:30 AM,70,100,29.81,Clear,0,0,0,0,0,3,3
1/2/2023,4:00 AM,70,100,29.81,Clear,0,0,0,0,0,3,2
1/2/2023,4:30 AM,70,100,29.81,Clear,0,0,0,0,0,3,2
1/2/2023,5:00 AM,70,100,29.81,Clear,0,0,0,0,3,15,2
1/2/2023,5:30 AM,70,100,29.81,Clear,0,0,0,0,2,14,2
1/2/2023,6:00 AM,73,94,29.81,Clear,0,0,0,0,3,14,2
1/2/2023,6:30 AM,72,94,29.81,Clear,0,0,0,0,3,13,2
1/2/2023,7:00 AM,70,100,29.84,Clear,0,0,0,0,3,13,2
1/2/2023,7:30 AM,72,100,29.84,Clear,0,0,0,0,3,14,2
1/2/2023,8:00 AM,75,94,29.84,Clear,0,0,0,0,2,12,2
1/2/2023,8:30 AM,75,94,29.87,Clear,0,0,0,0,3,15,2
1/2/2023,9:00 AM,79,89,29.87,Clear,0,0,0,0,2,7,2
1/2/2023,9:30 AM,81,89,29.87,Clear,0,0,0,0,2,7,1
1/2/2023,10:00 AM,81,89,29.87,Clear,0,0,0,0,2,8,2
1/2/2023,10:30 AM,82,84,29.87,Clear,0,0,0,0,2,6,1
1/2/2023,11:00 AM,84,74,29.87,Clear,0,0,0,0,2,6,2
1/2/2023,11:30 AM,84,74,29.87,Clear,0,0,0,0,2,7,2
1/2/2023,12:00 PM,84,70,29.84,Clear,0,0,0,0,2,7,2
1/2/2023,12:30 PM,86,66,29.84,Clear,0,0,0,0,2,7,2
1/2/2023,1:00 PM,86,66,29.81,Clear,0,0,0,0,2,7,2
1/2/2023,1:30 PM,86,66,29.81,Clear,0,0,0,0,2,7,2
1/2/2023,2:00 PM,86,62,29.79,Clear,0,0,0,0,2,6,2
1/2/2023,2:30 PM,84,66,29.79,Clear,0,0,0,0,2,8,2
1/2/2023,3:00 PM,86,66,29.76,Clear,0,0,0,0,2,6,2
1/2/2023,3:30 PM,84,70,29.76,Clear,0,0,0,0,2,7,2
1/2/2023,4:00 PM,84,70,29.76,Clear,0,0,0,0,3,13,2
1/2/2023,4:30 PM,82,74,29.76,Clear,0,0,0,0,3,16,2
1/2/2023,5:00 PM,82,70,29.76,Clear,0,0,0,0,2,13,2
1/2/2023,5:30 PM,82,70,29.76,Clear,0,0,0,0,3,17,2
1/2/2023,6:00 PM,81,74,29.79,Clear,0,0,0,0,3,13,2
1/2/2023,6:30 PM,81,74,29.79,Clear,0,0,0,0,3,14,2
1/2/2023,7:00 PM,79,78,29.81,Clear,0,0,0,0,3,14,2
1/2/2023,7:30 PM,79,83,29.81,Clear,0,0,0,0,3,15,2
1/2/2023,8:00 PM,79,83,29.84,Clear,0,0,0,0,2,8,2
1/2/2023,8:30 PM,79,83,29.84,Clear,0,0,0,0,2,7,1
1/2/2023,9:00 PM,79,83,29.84,Clear,0,0,0,0,2,7,1
1/2/2023,9:30 PM,77,89,29.87,Clear,0,0,0,0,2,8,1
1/2/2023,10:00 PM,77,89,29.87,Clear,0,0,0,0,2,8,2
1/2/2023,10:30 PM,75,89,29.87,Clear,0,0,0,0,2,7,1
1/2/2023,11:00 PM,75,94,29.84,Clear,0,0,0,0,2,8,1
1/2/2023,11:30 PM,75,94,29.84,Clear,0,0,0,0,2,9,2
1/3/2023,12:00 AM,77,89,29.84,Clear,0,0,0,0,0,3,3
1/3/2023,12:30 AM,75,94,29.84,Clear,0,0,0,0,0,3,2
1/3/2023,1:00 AM,75,94,29.84,Clear,0,0,0,0,0,3,3
1/3/2023,1:30 AM,75,94,29.84,Clear,0,0,0,0,0,4,2
1/3/2023,2:00 AM,73,94,29.81,Clear,0,0,0,0,0,3,2
1/3/2023,2:30 AM,73,94,29.81,Clear,0,0,0,0,0,3,3
1/3/2023,3:00 AM,73,100,29.79,Clear,0,0,0,0,0,3,2
1/3/2023,3:30 AM,73,100,29.79,Clear,0,0,0,0,1,3,2
1/3/2023,4:00 AM,73,94,29.79,Clear,0,0,0,0,0,3,3
1/3/2023,4:30 AM,73,94,29.79,Clear,0,0,0,0,0,3,2
1/3/2023,5:00 AM,73,100,29.79,Clear,0,0,0,0,3,12,2
1/3/2023,5:30 AM,73,100,29.81,Clear,0,0,0,0,3,15,2
1/3/2023,6:00 AM,72,100,29.81,Clear,0,0,0,0,3,15,2
1/3/2023,6:30 AM,72,100,29.81,Clear,0,0,0,0,3,13,2
1/3/2023,7:00 AM,72,100,29.81,Clear,0,0,0,0,3,12,2
1/3/2023,7:30 AM,73,100,29.84,Clear,0,0,0,0,3,13,2
1/3/2023,8:00 AM,77,94,29.84,Clear,0,0,0,0,3,12,2
1/3/2023,8:30 AM,79,94,29.84,Clear,0,0,0,0,3,16,2
1/3/2023,9:00 AM,81,89,29.84,Clear,0,0,0,0,2,8,1
1/3/2023,9:30 AM,82,84,29.84,Clear,0,0,0,0,2,7,2
1/3/2023,10:00 AM,82,84,29.84,Clear,0,0,0,0,2,7,1
1/3/2023,10:30 AM,84,79,29.84,Clear,0,0,0,0,2,7,2
1/3/2023,11:00 AM,86,74,29.84,Clear,0,0,0,0,2,7,2
1/3/2023,11:30 AM,86,74,29.84,Clear,0,0,0,0,2,8,2
1/3/2023,12:00 PM,88,66,29.81,Rain,0,0,0,0,1,6,2
1/3/2023,12:30 PM,86,74,29.81,Clear,0,0,0,0,2,7,2
1/3/2023,1:00 PM,88,66,29.79,Clear,0,0,0,0,2,6,2
1/3/2023,1:30 PM,88,66,29.79,Clear,0,0,0,0,2,8,2
1/3/2023,2:00 PM,88,62,29.76,Clear,0,0,0,0,2,5,2
1/3/2023,2:30 PM,88,62,29.76,Clear,0,0,0,0,2,6,2
1/3/2023,3:00 PM,86,66,29.73,Clear,0,0,0,0,2,6,2
1/3/2023,3:30 PM,84,70,29.73,Clear,0,0,0,0,2,7,2
1/3/2023,4:00 PM,84,70,29.73,Clear,0,0,0,0,3,13,2
1/3/2023,4:30 PM,84,70,29.73,Clear,0,0,0,0,2,15,2
1/3/2023,5:00 PM,84,70,29.73,Clear,0,0,0,0,3,14,2
1/3/2023,5:30 PM,84,70,29.73,Clear,0,0,0,0,3,14,2
1/3/2023,6:00 PM,82,74,29.76,Clear,0,0,0,0,3,14,2
1/3/2023,6:30 PM,81,79,29.76,Clear,1,0,1,0,3,12,2
1/3/2023,7:00 PM,81,79,29.79,Clear,0,0,0,0,3,15,2
1/3/2023,7:30 PM,79,83,29.79,Clear,0,0,0,0,2,12,2
1/3/2023,8:00 PM,79,89,29.81,Rain,0,0,0,0,1,9,2
1/3/2023,8:30 PM,79,89,29.81,Clear,0,0,0,0,2,8,2
1/3/2023,9:00 PM,77,89,29.84,Clear,0,0,0,0,2,7,2
1/3/2023,9:30 PM,77,89,29.84,Clear,0,0,0,0,2,9,2
1/3/2023,10:00 PM,77,94,29.84,Clear,0,0,0,0,2,8,2
1/3/2023,10:30 PM,77,89,29.84,Rain,0,0,0,0,1,9,2
1/3/2023,11:00 PM,75,94,29.84,Rain,0,0,0,0,1,9,2
1/3/2023,11:30 PM,75,94,29.84,Rain,0,0,0,0,1,9,2
1/4/2023,12:00 AM,75,94,29.84,Clear,0,0,0,0,1,3,2
1/4/2023,12:30 AM,75,100,29.84,Clear,0,0,0,0,0,4,2
1/4/2023,1:00 AM,75,100,29.84,Rain,0,0,0,0,0,3,3
1/4/2023,1:30 AM,75,94,29.81,Clear,0,0,0,0,0,4,2
1/4/2023,2:00 AM,75,94,29.81,Clear,0,0,0,0,0,3,2
1/4/2023,2:30 AM,75,94,29.79,Clear,0,0,0,0,0,3,3
1/4/2023,3:00 AM,73,100,29.79,Clear,0,0,0,0,0,3,2
1/4/2023,3:30 AM,73,94,29.79,Clear,0,0,0,0,1,3,2
1/4/2023,4:00 AM,73,94,29.79,Clear,0,0,0,0,0,3,2
1/4/2023,4:30 AM,73,94,29.79,Clear,0,0,0,0,0,3,2
1/4/2023,5:00 AM,72,100,29.79,Clear,0,0,0,0,3,12,1
1/4/2023,5:30 AM,72,100,29.79,Clear,0,0,0,0,3,15,2
1/4/2023,6:00 AM,72,100,29.79,Clear,0,0,0,0,3,14,2
1/4/2023,6:30 AM,72,100,29.79,Clear,0,0,0,0,3,13,1
1/4/2023,7:00 AM,72,100,29.81,Clear,0,0,0,0,3,16,2
1/4/2023,7:30 AM,73,100,29.81,Clear,0,0,0,0,3,14,2
1/4/2023,8:00 AM,75,94,29.81,Clear,0,0,0,0,2,14,2
1/4/2023,8:30 AM,75,100,29.84,Clear,0,0,0,0,3,14,2
1/4/2023,9:00 AM,77,94,29.84,Rain,0,0,0,0,1,8,2
1/4/2023,9:30 AM,81,89,29.84,Clear,0,0,0,0,2,6,2
1/4/2023,10:00 AM,82,84,29.84,Rain,0,0,0,0,1,9,2
1/4/2023,10:30 AM,82,89,29.84,Clear,0,0,0,0,2,6,2
1/4/2023,11:00 AM,81,89,29.84,Rain,0,0,0,0,1,7,2
1/4/2023,11:30 AM,75,94,29.81,Rain,0,0,0,0,1,6,1
1/4/2023,12:00 PM,77,94,29.81,Rain,0,0,0,0,2,7,2
1/4/2023,12:30 PM,79,94,29.81,Rain,0,0,0,0,1,8,2
1/4/2023,1:00 PM,82,89,29.79,Clear,0,0,0,0,2,7,2
1/4/2023,1:30 PM,82,89,29.76,Clear,0,0,0,0,2,7,1
1/4/2023,2:00 PM,82,84,29.76,Clear,0,0,0,0,2,6,2
1/4/2023,2:30 PM,84,79,29.73,Rain,0,0,0,0,2,8,2
1/4/2023,3:00 PM,81,89,29.73,Rain,0,0,0,0,1,7,1
1/4/2023,3:30 PM,81,89,29.73,Rain,0,0,0,0,1,7,2
1/4/2023,4:00 PM,81,89,29.73,Clear,0,0,0,0,3,14,3
1/4/2023,4:30 PM,82,84,29.73,Clear,0,0,0,0,3,15,2
1/4/2023,5:00 PM,82,84,29.73,Rain,0,0,0,0,2,12,2
1/4/2023,5:30 PM,81,84,29.76,Rain,0,0,0,0,2,14,3
1/4/2023,6:00 PM,79,83,29.76,Rain,0,0,0,0,2,14,2
1/4/2023,6:30 PM,77,89,29.76,Rain,0,0,0,0,2,16,2
1/4/2023,7:00 PM,77,94,29.79,Clear,0,0,0,0,3,13,2
1/4/2023,7:30 PM,77,94,29.79,Clear,0,0,0,0,2,14,2
1/4/2023,8:00 PM,77,94,29.81,Clear,0,0,0,0,2,9,2
1/4/2023,8:30 PM,77,94,29.81,Clear,0,0,0,0,2,8,2
1/4/2023,9:00 PM,77,94,29.84,Clear,0,0,0,0,2,8,2
1/4/2023,9:30 PM,77,94,29.84,Clear,0,0,0,0,2,7,2
1/4/2023,10:00 PM,75,100,29.84,Clear,0,0,0,0,2,7,1
1/4/2023,10:30 PM,75,100,29.84,Clear,0,0,0,0,2,8,2
1/4/2023,11:00 PM,75,94,29.84,Clear,0,0,0,0,2,9,2
1/4/2023,11:30 PM,75,94,29.81,Clear,0,0,0,0,2,7,2
1/5/2023,12:00 AM,75,94,29.84,Clear,0,0,0,0,0,3,3
1/5/2023,12:30 AM,75,94,29.81,Clear,0,0,0,0,0,3,2
1/5/2023,1:00 AM,75,94,29.81,Clear,0,0,0,0,0,3,2
1/5/2023,1:30 AM,75,94,29.81,Clear,0,0,0,0,0,3,2
1/5/2023,2:00 AM,75,94,29.79,Clear,0,0,0,0,1,3,2
1/5/2023,2:30 AM,75,94,29.79,Clear,0,0,0,0,0,3,2
1/5/2023,3:00 AM,75,94,29.76,Clear,0,0,0,0,0,3,2
1/5/2023,3:30 AM,75,94,29.76,Clear,0,0,0,0,0,3,2
1/5/2023,4:00 AM,75,94,29.76,Clear,0,0,0,0,0,3,2
1/5/2023,4:30 AM,75,94,29.76,Clear,0,0,0,0,0,3,2
1/5/2023,5:00 AM,73,100,29.76,Clear,0,0,0,0,3,14,2
1/5/2023,5:30 AM,73,100,29.76,Clear,0,0,0,0,3,16,2
1/5/2023,6:00 AM,75,94,29.76,Clear,0,0,0,0,3,13,1
1/5/2023,6:30 AM,75,94,29.76,Clear,0,0,0,0,3,14,2
1/5/2023,7:00 AM,75,94,29.79,Clear,0,0,0,0,3,13,2
1/5/2023,7:30 AM,75,100,29.79,Clear,0,0,0,0,3,13,1
1/5/2023,8:00 AM,77,94,29.81,Clear,0,0,0,0,3,17,2
1/5/2023,8:30 AM,77,100,29.81,Clear,0,0,0,0,3,15,2
1/5/2023,9:00 AM,79,94,29.81,Clear,0,0,0,0,2,7,2
1/5/2023,9:30 AM,81,89,29.81,Clear,0,0,0,0,2,7,1
1/5/2023,10:00 AM,82,89,29.84,Clear,0,0,0,0,2,7,2
1/5/2023,10:30 AM,82,89,29.81,Clear,0,0,0,0,2,8,2
1/5/2023,11:00 AM,84,84,29.81,Clear,0,0,0,0,2,7,2
1/5/2023,11:30 AM,86,74,29.81,Clear,0,0,0,0,2,7,1
1/5/2023,12:00 PM,86,74,29.79,Clear,0,0,0,0,2,6,2
1/5/2023,12:30 PM,88,70,29.79,Clear,0,0,0,0,2,7,2
1/5/2023,1:00 PM,88,66,29.76,Clear,0,0,0,0,2,8,2
1/5/2023,1:30 PM,88,66,29.76,Clear,0,0,0,0,2,6,2
1/5/2023,2:00 PM,84,79,29.73,Clear,0,0,0,0,2,7,1
1/5/2023,2:30 PM,86,70,29.73,Clear,0,0,0,0,2,6,1
1/5/2023,3:00 PM,86,70,29.73,Clear,0,0,0,0,2,7,2
1/5/2023,3:30 PM,86,66,29.7,Clear,0,0,0,0,2,7,2
1/5/2023,4:00 PM,86,66,29.7,Clear,0,0,0,0,2,16,2
1/5/2023,4:30 PM,86,70,29.7,Clear,0,0,0,0,3,11,2
1/5/2023,5:00 PM,84,70,29.7,Clear,0,0,0,0,3,12,3
1/5/2023,5:30 PM,82,74,29.7,Clear,0,0,0,0,3,12,2
1/5/2023,6:00 PM,82,74,29.73,Clear,0,0,0,0,3,15,2
1/5/2023,6:30 PM,81,79,29.73,Clear,0,0,0,0,3,14,2
1/5/2023,7:00 PM,81,79,29.76,Clear,0,0,0,0,3,12,2
1/5/2023,7:30 PM,81,84,29.76,Clear,0,0,0,0,3,15,2
1/5/2023,8:00 PM,79,83,29.76,Clear,0,0,0,0,2,6,2
1/5/2023,8:30 PM,79,89,29.79,Clear,0,0,0,0,2,9,2
1/5/2023,9:00 PM,77,89,29.79,Clear,0,0,0,0,2,9,2
1/5/2023,9:30 PM,77,89,29.79,Clear,0,0,0,0,2,7,2
1/5/2023,10:00 PM,77,89,29.81,Clear,0,0,0,0,2,7,2
1/5/2023,10:30 PM,75,94,29.81,Clear,0,0,0,0,2,7,2
1/5/2023,11:00 PM,77,94,29.79,Clear,0,0,0,0,2,8,2
1/5/2023,11:30 PM,77,89,29.79,Clear,0,0,0,0,2,8,2
1/6/2023,12:00 AM,77,94,29.79,Clear,0,0,0,0,1,3,2
1/6/2023,12:30 AM,75,94,29.79,Clear,0,0,0,0,1,4,3
1/6/2023,1:00 AM,73,100,29.79,Clear,0,0,0,0,0,3,2
1/6/2023,1:30 AM,73,94,29.79,Clear,0,0,0,0,1,3,2
1/6/2023,2:00 AM,75,94,29.76,Clear,0,0,0,0,0,3,3
1/6/2023,2:30 AM,75,94,29.76,Clear,0,0,0,0,0,3,2
1/6/2023,3:00 AM,75,94,29.76,Clear,0,0,0,0,0,3,3
1/6/2023,3:30 AM,75,94,29.76,Clear,0,0,0,0,0,3,2
1/6/2023,4:00 AM,75,94,29.73,Clear,0,0,0,0,0,3,2
1/6/2023,4:30 AM,75,94,29.73,Clear,0,0,0,0,1,3,2
1/6/2023,5:00 AM,75,94,29.76,Clear,0,0,0,0,3,13,2
1/6/2023,5:30 AM,75,100,29.76,Clear,0,0,0,0,3,15,2
1/6/2023,6:00 AM,75,94,29.76,Clear,0,0,0,0,3,16,2
1/6/2023,6:30 AM,75,94,29.76,Clear,0,0,0,0,3,14,2
1/6/2023,7:00 AM,75,94,29.76,Clear,0,0,0,0,3,13,2
1/6/2023,7:30 AM,75,100,29.79,Rain,0,0,0,0,2,15,1
1/6/2023,8:00 AM,77,94,29.79,Rain,0,0,0,0,2,15,2
1/6/2023,8:30 AM,77,94,29.81,Clear,0,0,0,0,3,12,1
1/6/2023,9:00 AM,75,94,29.81,Rain,0,0,0,0,2,7,2
1/6/2023,9:30 AM,75,94,29.81,Rain,0,0,0,0,1,8,2
1/6/2023,10:00 AM,75,100,29.84,Rain,0,0,0,0,1,8,2
1/6/2023,10:30 AM,79,94,29.84,Clear,0,0,0,0,2,8,2
1/6/2023,11:00 AM,82,89,29.84,Clear,0,0,0,0,2,7,2
1/6/2023,11:30 AM,77,89,29.84,Rain,0,0,0,0,1,7,1
1/6/2023,12:00 PM,79,89,29.81,Clear,0,0,0,0,2,8,2
1/6/2023,12:30 PM,77,94,29.81,Rain,0,0,0,0,1,8,2
1/6/2023,1:00 PM,79,89,29.79,Rain,0,0,0,0,1,7,2
1/6/2023,1:30 PM,79,94,29.79,Clear,0,0,0,0,2,8,2
1/6/2023,2:00 PM,79,94,29.76,Clear,0,0,0,0,2,7,2
1/6/2023,2:30 PM,81,89,29.76,Rain,0,0,0,0,1,8,2
1/6/2023,3:00 PM,79,94,29.73,Rain,0,0,0,0,2,7,2
1/6/2023,3:30 PM,77,94,29.73,Rain,0,0,0,0,1,7,2
1/6/2023,4:00 PM,77,94,29.73,Clear,0,0,0,0,3,14,2
1/6/2023,4:30 PM,79,89,29.76,Clear,0,0,0,0,3,14,2
1/6/2023,5:00 PM,77,89,29.76,Clear,0,0,0,0,3,14,3
1/6/2023,5:30 PM,77,89,29.76,Clear,0,0,0,0,2,14,2
1/6/2023,6:00 PM,75,94,29.76,Clear,0,0,0,0,3,16,2
1/6/2023,6:30 PM,75,94,29.76,Rain,0,0,0,0,2,15,2
1/6/2023,7:00 PM,75,89,29.79,Clear,0,0,0,0,3,13,2
1/6/2023,7:30 PM,75,89,29.79,Clear,0,0,0,0,3,11,2
1/6/2023,8:00 PM,73,94,29.79,Clear,0,0,0,0,1,8,2
1/6/2023,8:30 PM,73,94,29.81,Clear,0,0,0,0,2,9,2
1/6/2023,9:00 PM,73,94,29.81,Clear,0,0,0,0,1,7,2
1/6/2023,9:30 PM,73,94,29.81,Clear,0,0,0,0,2,8,2
1/6/2023,10:00 PM,73,94,29.81,Clear,0,0,0,0,2,9,2
1/6/2023,10:30 PM,73,100,29.81,Clear,0,0,0,0,2,7,1
1/6/2023,11:00 PM,75,94,29.81,Rain,0,0,0,0,1,8,2
1/6/2023,11:30 PM,73,94,29.81,Rain,0,0,0,0,1,9,2
1/7/2023,12:00 AM,73,94,29.81,Rain,0,0,0,0,0,3,3
1/7/2023,12:30 AM,73,94,29.81,Clear,0,0,0,0,0,3,2
1/7/2023,1:00 AM,73,94,29.81,Rain,0,0,0,0,0,3,2
1/7/2023,1:30 AM,73,94,29.81,Rain,0,0,0,0,0,2,3
1/7/2023,2:00 AM,73,94,29.79,Rain,0,0,0,0,0,3,2
1/7/2023,2:30 AM,73,94,29.79,Rain,0,0,0,0,0,4,3
1/7/2023,3:00 AM,73,94,29.76,Rain,0,0,0,0,0,3,2
1/7/2023,3:30 AM,73,94,29.76,Clear,0,0,0,0,0,3,2
1/7/2023,4:00 AM,73,94,29.73,Clear,0,0,0,0,0,3,2
1/7/2023,4:30 AM,73,94,29.73,Clear,0,0,0,0,0,3,2
1/7/2023,5:00 AM,73,100,29.73,Clear,0,0,0,0,3,13,1
1/7/2023,5:30 AM,73,100,29.73,Clear,0,0,0,0,2,13,2
1/7/2023,6:00 AM,73,100,29.76,Rain,0,0,0,0,2,13,2
1/7/2023,6:30 AM,73,100,29.76,Clear,0,0,0,0,3,14,2
1/7/2023,7:00 AM,73,100,29.76,Rain,0,0,0,0,2,15,2
1/7/2023,7:30 AM,73,100,29.79,Rain,0,0,0,0,2,16,2
1/7/2023,8:00 AM,73,100,29.79,Rain,0,0,0,0,2,14,2
1/7/2023,8:30 AM,73,100,29.81,Rain,0,0,0,0,2,18,1
1/7/2023,9:00 AM,73,100,29.81,Rain,0,0,0,0,1,7,2
1/7/2023,9:30 AM,73,100,29.81,Rain,0,0,0,0,1,7,2
1/7/2023,10:00 AM,73,100,29.81,Rain,0,0,0,0,1,8,1
1/7/2023,10:30 AM,73,100,29.81,Rain,0,0,0,0,2,7,1
1/7/2023,11:00 AM,73,100,29.81,Rain,0,0,0,0,1,8,2
1/7/2023,11:30 AM,73,100,29.81,Rain,0,0,0,0,1,9,2
1/7/2023,12:00 PM,73,100,29.79,Rain,0,0,0,0,1,7,2
1/7/2023,12:30 PM,73,100,29.79,Rain,0,0,0,0,1,6,2
1/7/2023,1:00 PM,73,100,29.79,Rain,0,0,0,0,1,8,1
1/7/2023,1:30 PM,73,100,29.76,Rain,0,0,0,0,1,8,2
1/7/2023,2:00 PM,75,100,29.73,Rain,0,0,0,0,1,8,2
1/7/2023,2:30 PM,75,100,29.73,Rain,0,0,0,0,1,7,2
1/7/2023,3:00 PM,75,94,29.73,Rain,0,0,0,0,1,6,1
1/7/2023,3:30 PM,75,94,29.7,Rain,0,0,0,0,1,6,2
1/7/2023,4:00 PM,73,100,29.7,Rain,0,0,0,0,2,16,2
1/7/2023,4:30 PM,73,100,29.7,Rain,0,0,0,0,2,14,2
1/7/2023,5:00 PM,73,100,29.73,Rain,0,0,0,0,2,12,2
1/7/2023,5:30 PM,73,100,29.73,Rain,0,0,0,0,2,15,2
1/7/2023,6:00 PM,73,100,29.73,Rain,0,0,0,0,2,16,3
1/7/2023,6:30 PM,73,100,29.73,Rain,0,0,0,0,2,15,2
1/7/2023,7:00 PM,73,100,29.76,Rain,0,0,0,0,2,14,2
1/7/2023,7:30 PM,73,100,29.76,Rain,0,0,0,0,2,16,3
1/7/2023,8:00 PM,73,100,29.79,Clear,0,0,0,0,2,6,2
1/7/2023,8:30 PM,73,100,29.79,Rain,0,0,0,0,1,9,2
1/7/2023,9:00 PM,73,100,29.79,Rain,0,0,0,0,1,9,2
1/7/2023,9:30 PM,73,100,29.81,Rain,0,0,0,0,1,8,2
1/7/2023,10:00 PM,73,100,29.81,Rain,0,0,0,0,1,8,1
1/7/2023,10:30 PM,73,100,29.81,Rain,0,0,0,0,1,8,2
1/7/2023,11:00 PM,73,100,29.81,Rain,0,0,0,0,1,10,2
1/7/2023,11:30 PM,73,100,29.79,Rain,0,0,0,0,1,8,2
1/8/2023,12:00 AM,73,100,29.79,Rain,0,0,0,0,0,3,2
1/8/2023,12:30 AM,73,100,29.79,Rain,0,0,0,0,0,3,3
1/8/2023,1:00 AM,73,100,29.79,Rain,0,0,0,0,0,3,2
1/8/2023,1:30 AM,73,100,29.79,Rain,0,0,0,0,0,3,2
1/8/2023,2:00 AM,73,100,29.76,Clear,0,0,0,0,0,3,3
1/8/2023,2:30 AM,73,100,29.76,Clear,0,0,0,0,0,3,2
1/8/2023,3:00 AM,73,100,29.73,Clear,0,0,0,0,0,3,2
1/8/2023,3:30 AM,73,100,29.73,Clear,0,0,0,0,1,3,2
1/8/2023,4:00 AM,73,100,29.73,Clear,0,0,0,0,0,3,2
1/8/2023,4:30 AM,73,100,29.73,Clear,0,0,0,0,0,3,3
